25-Oct-2018 12:28:59 .06 8 12 0 0 100 0 2233  0 17 13 28 10 3 6 7 5 7 11 8 4 5 2 2 3 2 2 3 4 4 3 7 4 6 10 4 6 3 4 2 2 4 3 5 3 3 2 2 7 4 4 4 1 5 3 4 2 3 6 9 2 2 4 5 3 3 3 4 27 10 11 9 26 75 28 73 103 127 127 127 127 88 57 40 40 51 15 36 21 10 18 11 9 9 10 4 9 4 6 6 6 8 13 6 7 6 5 9 7 8 6 7 5 5 10 10 7 7 6 6 7 12 4 10 12 7 7 18 11 8 7 9 8 12 13 15 4 12 15 7 9 13 6 10 13 18 29 27 30 9 14 17 17 12 6 19 16 14 12 17 25 13 16 19 15 25 18 14 16 13 8 11 19 12 14 19 15 20 10 13 19 16 18 24 13 18 21 20 10 19 21 15 23 17 22 20 26 22 15 15 27 19 14 16 26 18 22 23 14 35 54 37 33 36 32 36 41 37 16 45 20 43 24 16 19 31 32 39 31 44 29 39 28 56 23 34 34 31 35 39 35 29 37 32 39 24 25 20 30 29 35 30 30 33 32 23 48 27 55 19 0 0 
25-Oct-2018 12:29:00 .06 8 12 0 0 100 0 2233  0 17 13 31 22 15 20 11 14 16 22 8 8 11 4 4 3 3 11 3 2 1 3 3 4 3 7 2 3 4 6 5 6 3 3 2 5 5 2 4 5 5 3 5 4 3 7 5 9 5 3 2 5 3 2 6 3 3 4 7 3 7 4 8 34 127 44 60 127 127 127 127 127 127 39 20 38 31 25 10 13 8 7 10 13 7 9 11 9 8 4 12 8 8 5 4 9 8 6 6 5 7 8 8 9 8 15 9 6 7 11 5 7 5 4 12 9 9 21 7 7 11 7 7 12 11 9 9 14 10 8 10 14 9 15 12 6 14 25 33 29 22 16 20 21 24 15 18 10 8 19 15 11 7 20 13 21 10 14 17 11 9 17 20 16 14 13 22 15 27 14 23 13 22 15 22 8 18 23 21 19 29 12 26 23 21 28 28 31 16 17 29 20 23 14 14 22 22 12 23 25 17 34 18 29 26 21 32 29 38 30 29 26 36 40 26 23 23 21 28 30 28 35 41 20 37 26 20 20 38 39 31 15 26 48 48 45 39 20 45 42 34 36 36 38 40 17 41 45 60 35 32 0 0 
25-Oct-2018 12:29:01 .06 8 12 0 0 100 0 2233  0 17 13 28 10 3 13 14 6 14 3 3 6 3 4 13 8 4 5 5 2 1 3 2 5 4 2 4 5 3 4 2 2 3 3 5 3 1 1 3 3 2 1 2 3 2 3 1 4 2 5 4 3 1 5 4 3 5 3 5 8 3 4 5 1 45 43 93 127 127 127 127 127 127 57 26 33 61 35 12 16 14 9 8 5 9 8 8 5 9 7 9 7 11 7 17 14 6 5 6 6 7 5 8 4 8 10 7 5 10 13 8 5 9 11 8 15 11 12 6 4 5 12 10 11 9 9 9 14 11 11 11 13 14 10 6 14 10 16 27 19 15 22 16 22 18 23 17 10 8 12 17 19 11 7 14 12 12 20 14 20 14 18 15 17 19 15 11 17 14 23 14 13 24 12 21 17 27 10 16 25 26 31 27 18 23 17 19 18 22 29 18 18 12 16 20 32 13 19 13 15 33 23 21 21 21 15 22 16 39 23 23 20 28 24 19 29 27 22 29 28 20 47 13 35 38 24 27 40 25 29 33 18 35 27 26 34 17 31 21 29 26 18 30 62 34 24 47 27 37 35 39 0 0 
25-Oct-2018 12:29:02 .06 8 12 0 0 100 0 2233  0 17 13 28 10 8 14 13 13 7 10 10 4 3 7 3 4 9 6 10 5 3 4 2 3 2 3 3 6 4 6 3 3 6 4 3 3 2 3 4 2 3 3 3 6 6 4 3 4 3 4 6 3 6 7 5 3 4 5 4 4 3 5 3 6 19 24 14 39 127 127 127 127 127 127 127 116 48 32 14 20 22 17 15 12 12 14 10 6 7 10 8 11 6 6 12 6 8 8 8 12 10 6 5 10 6 8 11 9 20 11 8 10 16 10 11 12 11 16 13 10 11 12 18 12 11 11 9 14 9 16 13 13 16 10 17 18 17 10 19 15 40 36 24 29 16 20 13 12 16 18 12 21 10 18 19 15 15 14 10 18 15 19 18 15 20 14 19 9 24 23 18 19 15 23 29 11 25 30 35 27 17 14 23 18 19 39 34 18 21 32 39 10 33 23 18 25 39 42 22 24 27 78 34 27 55 32 24 26 66 53 34 53 38 38 20 29 16 57 33 32 37 40 34 40 26 38 29 41 29 31 41 33 20 51 30 32 56 43 21 48 53 40 29 30 31 61 14 33 65 43 56 0 0 
25-Oct-2018 12:29:03 .06 8 12 0 0 100 0 2233  0 17 13 28 10 1 10 3 2 19 3 4 2 8 3 8 4 7 4 3 4 5 2 4 4 2 4 4 7 2 2 3 3 3 2 4 3 2 1 3 2 1 3 3 2 3 4 4 4 3 5 5 3 3 4 4 3 3 5 4 3 4 4 43 70 127 127 127 127 127 127 127 127 71 68 61 39 14 13 17 9 10 14 8 10 6 6 6 5 6 12 6 7 6 5 7 6 7 4 3 7 7 7 6 9 7 13 7 11 8 16 14 9 11 6 10 8 11 8 14 8 8 10 15 9 16 12 11 13 11 8 9 7 13 16 15 8 17 26 38 26 34 14 19 14 14 15 16 17 12 15 13 18 20 14 18 15 19 12 22 12 22 19 10 10 20 14 16 12 24 16 17 15 12 20 18 21 30 23 14 15 25 23 25 13 27 22 26 40 16 18 16 23 25 13 26 39 25 27 29 24 22 21 22 15 38 34 15 22 19 28 27 19 52 25 22 25 19 24 24 27 22 25 33 24 21 25 33 43 16 31 24 40 32 37 26 28 29 34 38 27 18 43 16 40 35 23 31 31 35 35 33 0 0 
25-Oct-2018 12:29:04 .06 8 12 0 0 100 0 2233  0 17 13 28 10 1 4 27 1 4 4 4 5 6 4 3 2 5 4 2 11 6 2 2 2 3 4 6 4 4 2 2 2 3 2 3 1 3 5 4 3 5 3 3 3 3 3 3 3 4 3 3 4 3 2 3 4 3 3 2 5 6 14 127 127 127 106 127 127 127 127 127 113 127 68 22 42 22 21 25 12 8 16 7 5 5 10 5 7 9 6 13 5 7 7 7 6 5 11 8 8 12 17 14 17 8 18 19 7 6 11 11 13 6 7 7 6 10 9 9 7 9 10 15 8 8 5 9 12 17 9 8 12 8 23 24 19 34 25 26 39 30 10 22 14 28 12 13 15 17 13 22 16 16 15 9 11 12 20 20 9 20 19 23 13 14 16 16 13 22 15 10 10 25 12 23 26 36 16 25 18 18 18 17 23 21 16 14 13 19 17 21 14 19 17 15 19 15 15 24 20 15 14 17 33 22 21 42 20 7 32 16 32 22 22 14 39 31 37 13 42 16 25 46 16 30 19 24 23 32 36 34 19 24 47 19 51 27 39 26 48 35 46 34 26 22 30 36 48 51 31 17 0 0 
25-Oct-2018 12:29:05 .06 8 12 0 0 100 0 2233  0 17 13 28 10 1 2 3 11 4 9 2 2 2 6 2 5 2 2 6 3 4 4 3 3 5 4 5 4 5 3 2 1 2 5 3 5 2 3 2 3 2 3 4 2 3 3 2 3 1 4 5 2 3 3 3 2 2 2 10 4 5 127 127 127 127 85 127 127 127 127 127 127 88 57 41 22 10 13 13 10 12 10 8 5 8 7 6 3 9 7 9 9 5 7 4 9 9 5 9 11 9 9 7 7 11 9 10 10 7 10 9 6 11 5 7 3 10 10 8 7 6 9 11 10 8 6 8 10 14 11 10 17 13 20 28 32 31 17 20 17 9 19 31 16 17 29 11 15 21 38 16 16 15 12 14 20 15 9 23 16 15 11 25 21 17 12 24 19 38 18 18 18 14 26 15 23 12 21 27 15 19 23 19 25 19 24 9 29 21 13 16 20 22 19 25 22 19 33 11 15 28 15 15 18 15 34 23 20 19 16 24 20 27 33 30 27 29 26 24 37 31 26 25 33 33 24 26 33 14 31 19 28 21 46 33 46 45 30 35 29 31 42 43 44 42 53 45 31 52 31 39 0 0 
25-Oct-2018 12:29:06 .06 8 12 0 0 100 0 2233  0 17 13 28 10 1 4 4 3 3 2 2 2 7 6 3 3 4 4 3 5 2 4 2 3 3 2 3 3 3 4 2 3 3 4 2 4 2 2 1 1 2 3 4 8 3 3 1 2 3 3 4 3 3 4 4 5 5 6 2 8 2 5 50 127 127 64 127 127 127 127 127 53 68 41 37 30 15 16 8 16 11 10 11 7 7 9 5 6 9 7 8 7 8 4 5 7 6 5 6 7 7 5 5 10 11 8 9 5 10 17 9 6 7 5 4 14 14 7 12 11 13 11 12 8 7 9 12 13 5 17 11 10 17 63 47 41 10 22 28 13 16 24 13 16 12 17 18 12 16 15 21 17 16 15 13 17 15 18 10 18 12 24 13 20 11 13 25 14 22 16 14 23 10 24 19 39 21 22 10 20 14 24 21 23 18 22 17 15 26 22 14 18 22 20 19 31 20 41 26 23 22 28 26 20 22 17 24 28 19 30 23 39 22 33 13 22 25 23 29 35 30 30 28 22 22 34 20 26 29 20 51 26 42 30 29 49 33 36 22 26 20 41 38 38 17 28 25 25 35 29 51 0 0 
25-Oct-2018 12:29:07 .06 8 12 0 0 100 0 2233  0 17 13 28 10 9 13 21 8 8 7 5 4 7 7 2 2 6 3 4 3 4 4 8 5 7 4 3 2 2 2 7 2 3 5 3 3 5 4 2 2 3 2 4 4 2 2 5 4 2 3 5 3 3 2 5 2 2 2 6 6 6 4 5 32 28 47 127 127 127 127 127 108 55 91 45 33 37 21 27 14 12 11 10 6 8 14 7 5 3 8 10 6 9 8 7 8 3 10 8 8 8 7 7 13 6 10 14 5 9 9 8 4 7 8 10 7 12 9 11 8 5 9 7 8 12 5 12 7 7 12 13 16 11 13 26 26 29 16 31 15 33 14 14 23 21 19 22 14 9 15 18 11 17 14 16 13 8 24 19 17 24 20 14 8 32 15 17 28 17 15 12 12 21 17 23 14 21 17 19 15 21 25 15 28 32 15 10 34 21 15 14 18 39 29 17 25 31 17 22 29 13 28 20 22 27 32 18 26 10 24 34 19 24 43 36 24 29 29 40 27 32 26 25 30 34 28 43 23 31 30 23 29 23 33 27 47 40 26 53 29 29 30 31 39 33 37 47 49 19 77 37 0 0 
25-Oct-2018 12:29:08 .06 8 12 0 0 100 0 2233  0 17 13 28 10 4 17 9 18 5 5 4 4 4 33 4 5 4 4 3 5 2 6 1 3 2 3 4 3 3 2 4 3 2 2 2 2 2 3 4 4 4 3 2 2 2 2 3 4 2 8 2 1 1 3 4 4 2 4 4 5 4 2 5 5 8 44 127 127 127 127 127 71 40 53 25 41 46 24 20 16 9 9 10 11 5 7 8 11 7 4 4 7 5 10 10 8 4 6 11 4 5 8 7 9 4 7 5 12 7 7 6 4 11 15 6 10 11 7 7 10 4 6 7 9 12 14 13 7 9 12 9 16 18 18 32 24 29 23 22 15 13 17 15 11 14 18 14 13 17 31 28 30 23 14 14 15 16 18 12 15 8 21 8 7 11 7 18 17 30 19 14 9 15 15 12 17 17 18 7 23 12 16 10 26 27 9 16 17 16 19 17 16 18 12 17 20 35 27 28 15 21 14 20 28 23 29 22 19 53 38 46 34 16 15 22 33 22 24 22 29 10 34 29 32 33 39 25 39 23 23 30 25 27 22 21 38 25 36 26 56 40 20 53 40 31 21 85 45 39 53 38 0 0 
